"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000001","PUBLISHED","2018","EUR","PRT","41 000 [36 000–46 000]","41000.00000","36000.00000","46000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","QAT","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","WPR","KOR","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","EUR","MDA","17 000 [14 000–23 000]","17000.00000","14000.00000","23000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","MKD","<500 [<500–520]","","","520.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","ROU","18 000 [16 000–20 000]","18000.00000","16000.00000","20000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","RUS","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AFR","RWA","220 000 [200 000–250 000]","220000.00000","200000.00000","250000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","SAU","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AFR","SEN","42 000 [37 000–47 000]","42000.00000","37000.00000","47000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","SRB","3000 [2200–3800]","3000.00000","2200.00000","3800.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","SLE","70 000 [56 000–86 000]","70000.00000","56000.00000","86000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","SGP","7900 [7200–8700]","7900.00000","7200.00000","8700.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","SVK","1200 [910–1900]","1200.00000","910.00000","1900.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","SVN","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","EMR","SOM","11 000 [8400–15 000]","11000.00000","8400.00000","15000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","ZAF","7 700 000 [7 100 000–8 300 000]","7700000.00000","7100000.00000","8300000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","SSD","190 000 [140 000–240 000]","190000.00000","140000.00000","240000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","ESP","150 000 [130 000–170 000]","150000.00000","130000.00000","170000.00000",""
"HIV_0000000001","PUBLISHED","2018","SEAR","LKA","3500 [3100–4000]","3500.00000","3100.00000","4000.00000",""
